filename,x1,y1,x2,y2
image_1.png,703,343,1,342
image_1.png,703,3,280,2
image_1.png,3,344,3,0
image_1.png,701,249,701,1
image_1.png,418,193,418,0
image_1.png,281,188,281,1
image_1.png,412,193,412,7
image_1.png,703,107,538,106
image_1.png,274,176,274,12
image_1.png,701,117,538,117
image_1.png,142,344,142,192
image_1.png,267,344,267,193
image_1.png,134,344,134,201
image_1.png,268,194,141,194
image_1.png,389,187,279,187
image_2.png,700,342,1,342
image_2.png,698,2,356,2
image_2.png,700,344,700,4
image_2.png,217,243,4,243
image_2.png,217,237,9,237
image_2.png,557,344,557,188
image_2.png,563,344,563,215
image_2.png,354,126,354,7
image_2.png,5,116,5,5
image_2.png,347,126,347,16
image_2.png,207,344,207,235
image_2.png,215,344,215,235
image_3.png,703,343,0,342
image_3.png,703,3,415,2
image_3.png,701,246,701,1
image_3.png,2,219,2,1
image_3.png,142,344,142,176
image_3.png,353,194,187,194
image_3.png,701,107,538,107
image_3.png,699,117,538,117
image_3.png,699,247,546,247
image_3.png,268,344,268,193
image_3.png,275,344,275,195
image_3.png,135,344,135,208
image_3.png,417,207,417,72
image_3.png,661,254,541,254
image_3.png,154,189,80,189
image_4.png,703,343,0,342
image_4.png,700,344,700,8
image_4.png,3,344,3,83
image_4.png,140,216,140,5
image_4.png,417,188,417,3
image_4.png,291,187,291,21
image_4.png,146,165,146,4
image_4.png,697,247,563,247
image_4.png,137,2,4,2
image_4.png,540,136,540,4
image_4.png,700,254,576,254
image_4.png,283,178,283,60
image_4.png,547,137,547,28
image_4.png,270,194,164,194
image_4.png,410,85,410,14
image_5.png,703,2,0,1
image_5.png,445,341,0,341
image_5.png,1,344,1,0
image_5.png,348,344,348,0
image_5.png,701,344,701,0
image_5.png,355,235,355,0
image_5.png,561,233,347,233
image_6.png,700,342,0,342
image_6.png,701,1,352,1
image_6.png,354,344,354,0
image_6.png,700,344,700,0
image_6.png,347,344,347,13
image_6.png,1,344,1,190
