filename,x1,y1,x2,y2
image_1.png,703,3,279,2
image_1.png,546,188,280,188
image_1.png,544,260,544,2
image_1.png,700,250,700,1
image_1.png,418,195,418,0
image_1.png,4,190,4,0
image_1.png,134,189,134,0
image_1.png,281,187,281,1
image_1.png,703,106,536,105
image_1.png,703,249,543,248
image_2.png,699,2,355,2
image_2.png,703,190,434,189
image_2.png,437,121,211,121
image_2.png,436,344,436,120
image_2.png,215,236,7,236
image_2.png,529,194,529,0
image_2.png,701,190,701,4
image_2.png,6,117,6,4
image_3.png,417,344,417,1
image_3.png,144,341,144,23
image_3.png,703,3,416,2
image_3.png,700,246,700,1
image_3.png,370,195,142,195
image_3.png,4,191,4,0
image_3.png,538,190,538,0
image_3.png,703,107,536,106
image_4.png,6,344,6,1
image_4.png,698,344,698,7
image_4.png,281,3,3,3
image_4.png,548,222,548,27
image_4.png,419,189,419,2
image_4.png,138,186,138,2
image_4.png,549,187,416,187
image_4.png,230,92,134,92
image_5.png,701,232,345,232
image_5.png,701,164,345,164
image_5.png,3,344,3,0
image_5.png,347,344,347,0
image_5.png,700,344,700,0
image_6.png,357,193,0,193
image_6.png,701,125,344,125
image_6.png,701,232,345,232
image_6.png,345,344,345,11
image_6.png,339,3,14,3
image_6.png,699,344,699,63
